sku,COD,Nombre,Descripcion,Material,Código WEB,,,
80142460978,978,CAMISETA BMW ACTIVE DE CABALLERO,"Camiseta de estilo deportivo con estampado del mismo color por toda su superficie.
Descripción del producto:
- Ajuste estándar, material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.
- Puños de las mangas con cinta y bandas de contraste.","70 % algodón, 30 % poliéster",01020101059902978,,,
80142460979,979,CAMISETA BMW ACTIVE DE CABALLERO,"Camiseta de estilo deportivo con estampado del mismo color por toda su superficie.
Descripción del producto:
- Ajuste estándar, material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.
- Puños de las mangas con cinta y bandas de contraste.","70 % algodón, 30 % poliéster",01020101079902979,,,
80142460980,980,CAMISETA BMW ACTIVE DE CABALLERO,"Camiseta de estilo deportivo con estampado del mismo color por toda su superficie.
Descripción del producto:
- Ajuste estándar, material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.
- Puños de las mangas con cinta y bandas de contraste.","70 % algodón, 30 % poliéster",01020101089902980,,,
80142460981,981,CAMISETA BMW ACTIVE DE CABALLERO,"Camiseta de estilo deportivo con estampado del mismo color por toda su superficie.
Descripción del producto:
- Ajuste estándar, material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.
- Puños de las mangas con cinta y bandas de contraste.","70 % algodón, 30 % poliéster",01020101049902981,,,
80142460982,982,CAMISETA BMW ACTIVE DE CABALLERO,"Camiseta de estilo deportivo con estampado del mismo color por toda su superficie.
Descripción del producto:
- Ajuste estándar, material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.
- Puños de las mangas con cinta y bandas de contraste.","70 % algodón, 30 % poliéster",01020101019902982,,,
80142460983,983,SUDADERA BMW ACTIVE DE CABALLERO,"Sudadera con capucha y detalles destacados de color.
Descripción del producto:
- Ajuste estándar,
- El material transpira de forma natural.
- Cremallera ½ en la parte delantera con tirador con recubrimiento antideslizante en el color de resalte Wild Lime.
- Capucha y bolsillos interiores en color de contraste, bandas mate en la costura de los hombros.","70 % algodón, 30 % poliéster",01010101059902983,,,
80142460984,984,SUDADERA BMW ACTIVE DE CABALLERO,"Sudadera con capucha y detalles destacados de color.
Descripción del producto:
- Ajuste estándar,
- El material transpira de forma natural.
- Cremallera ½ en la parte delantera con tirador con recubrimiento antideslizante en el color de resalte Wild Lime.
- Capucha y bolsillos interiores en color de contraste, bandas mate en la costura de los hombros.","70 % algodón, 30 % poliéster",01010101079902984,,,
80142460985,985,SUDADERA BMW ACTIVE DE CABALLERO,"Sudadera con capucha y detalles destacados de color.
Descripción del producto:
- Ajuste estándar,
- El material transpira de forma natural.
- Cremallera ½ en la parte delantera con tirador con recubrimiento antideslizante en el color de resalte Wild Lime.
- Capucha y bolsillos interiores en color de contraste, bandas mate en la costura de los hombros.","70 % algodón, 30 % poliéster",01010101089902985,,,
80142460986,986,SUDADERA BMW ACTIVE DE CABALLERO,"Sudadera con capucha y detalles destacados de color.
Descripción del producto:
- Ajuste estándar,
- El material transpira de forma natural.
- Cremallera ½ en la parte delantera con tirador con recubrimiento antideslizante en el color de resalte Wild Lime.
- Capucha y bolsillos interiores en color de contraste, bandas mate en la costura de los hombros.","70 % algodón, 30 % poliéster",01010101049902986,,,
80142460987,987,SUDADERA BMW ACTIVE DE CABALLERO,"Sudadera con capucha y detalles destacados de color.
Descripción del producto:
- Ajuste estándar,
- El material transpira de forma natural.
- Cremallera ½ en la parte delantera con tirador con recubrimiento antideslizante en el color de resalte Wild Lime.
- Capucha y bolsillos interiores en color de contraste, bandas mate en la costura de los hombros.","70 % algodón, 30 % poliéster",01010101019902987,,,
80142460993,993,CHAQUETA BMW ACTIVE DE CABALLERO,"Chaqueta funcional con capucha y forro de malla en color de contraste Wild Lime.
Descripción del producto:
- Corte holgado, material impermeable y transpirable.
- Capucha ajustable con cordón.
- Parte posterior con abertura e inserto de forro de malla.
- Tirador de cremallera con recubrimiento antideslizante en el color de resalte Wild Lime.
- Chaqueta con forro de malla.",100% poliéster ,01010101059902993,,,
80142460994,994,CHAQUETA BMW ACTIVE DE CABALLERO,"Chaqueta funcional con capucha y forro de malla en color de contraste Wild Lime.
Descripción del producto:
- Corte holgado, material impermeable y transpirable.
- Capucha ajustable con cordón.
- Parte posterior con abertura e inserto de forro de malla.
- Tirador de cremallera con recubrimiento antideslizante en el color de resalte Wild Lime.
- Chaqueta con forro de malla.",100% poliéster ,01010101079902994,,,
80142460995,995,CHAQUETA BMW ACTIVE DE CABALLERO,"Chaqueta funcional con capucha y forro de malla en color de contraste Wild Lime.
Descripción del producto:
- Corte holgado, material impermeable y transpirable.
- Capucha ajustable con cordón.
- Parte posterior con abertura e inserto de forro de malla.
- Tirador de cremallera con recubrimiento antideslizante en el color de resalte Wild Lime.
- Chaqueta con forro de malla.",100% poliéster ,01010101089902995,,,
80142460996,996,CHAQUETA BMW ACTIVE DE CABALLERO,"Chaqueta funcional con capucha y forro de malla en color de contraste Wild Lime.
Descripción del producto:
- Corte holgado, material impermeable y transpirable.
- Capucha ajustable con cordón.
- Parte posterior con abertura e inserto de forro de malla.
- Tirador de cremallera con recubrimiento antideslizante en el color de resalte Wild Lime.
- Chaqueta con forro de malla.",100% poliéster ,01010101049902996,,,
80142460997,997,CHAQUETA BMW ACTIVE DE CABALLERO,"Chaqueta funcional con capucha y forro de malla en color de contraste Wild Lime.
Descripción del producto:
- Corte holgado, material impermeable y transpirable.
- Capucha ajustable con cordón.
- Parte posterior con abertura e inserto de forro de malla.
- Tirador de cremallera con recubrimiento antideslizante en el color de resalte Wild Lime.
- Chaqueta con forro de malla.",100% poliéster ,01010101019902997,,,
80142460998,998,CAMISETA BMW ACTIVE DE SEÑORA,"Camiseta deportiva con insertos de malla y bandas decorativas del mismo color.
Descripción del producto:
- Corte especial con escote en la espalda, dobladillo más largo en la parte posterior.
- Puños de las mangas con insertos de malla del mismo color.
- Material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.","70 % algodón, 30 % poliéster",01020201039902998,,,
80142460999,999,CAMISETA BMW ACTIVE DE SEÑORA,"Camiseta deportiva con insertos de malla y bandas decorativas del mismo color.
Descripción del producto:
- Corte especial con escote en la espalda, dobladillo más largo en la parte posterior.
- Puños de las mangas con insertos de malla del mismo color.
- Material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.","70 % algodón, 30 % poliéster",01020201059902999,,,
80142461000,000,CAMISETA BMW ACTIVE DE SEÑORA,"Camiseta deportiva con insertos de malla y bandas decorativas del mismo color.
Descripción del producto:
- Corte especial con escote en la espalda, dobladillo más largo en la parte posterior.
- Puños de las mangas con insertos de malla del mismo color.
- Material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.","70 % algodón, 30 % poliéster",01020201079902000,,,
80142461001,001,CAMISETA BMW ACTIVE DE SEÑORA,"Camiseta deportiva con insertos de malla y bandas decorativas del mismo color.
Descripción del producto:
- Corte especial con escote en la espalda, dobladillo más largo en la parte posterior.
- Puños de las mangas con insertos de malla del mismo color.
- Material suave y de secado rápido.
- Tejido ligero, de doble capa, en el interior en color de resalte Wild Lime.","70 % algodón, 30 % poliéster",01020201089902001,,,
